Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[7, 11, 8, 4, 18, 10]	[[145.8975, 457.7025], '0', '1', '0', '0', '0']	6.4724;14.1476	0.661621283572503	0.661621283572503	1	202.9050784373658	9821	2	0.3	202.9050784373658	390	516	56	74	1	Covering
[7, 11, 8, 4, 18]	[[44.739, 169.46099999999998], '0', '1', '1', '0']	0.4621000000000004;7.177899999999999	0.9473281912306303	0.9473281912306303	4	217.5877944955308	9829	23	0.25	870.3511779821232	63	63	9	9	1	Covering
[7, 15]	[[243.10199999999998, 530.37], '0']	12.3613;16.5187	0.4632389509498481	0.4632389509498481	1	254.07136432685056	9899	27	0.1	265.049006760704	1485	3015	215	436	1	GA_MutationC_RangeError
[7, 6]	[[243.10199999999998, 504.8505], '0']	12.3613;16.5187	0.4704066644216741	0.4704066644216741	1	268.8251962836395	9993	53	0.1	266.7372956143543	2162	4312	313	624	1	GA_CrossoverC_MutationC
[7, 10]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.8435403592762717	0.8435403592762717	1	242.34892458244468	9966	79	0.1	257.18615572805584	1976	2195	287	319	1	GA_CrossoverP_MutationC
[7, 1]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.8383703398293287	0.8383703398293287	1	257.7471777716036	9933	79	0.1	243.43397221450454	1530	1709	222	248	1	GA_CrossoverP_MutationC
[10, 7]	['0', [277.8585, 464.94149999999996]]	12.3613;16.5187	0.5334509186165881	0.5334509186165881	1	223.75353332908622	9966	95	0.1	234.44191666135777	1647	2916	239	424	1	GA_CrossoverP_MutationC
[9]	['0']	12.3613;16.5187	0.22554952080977753	0.22554952080977753	1	270.4064406288553	9993	95	0.05	277.6496867469269	2000	8317	291	1208	1	GA_CrossoverP_MutationC
[7]	[[59.76450000000001, 266.0355]]	1.3422000000000005;8.3778	0.8055507132902946	0.8055507132902946	1	276.32526331097336	9999	114	0.05	285.54019363030613	3907	4374	567	635	1	GA_CrossoverP_MutationC
[7, 3]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.818773332431869	0.818773332431869	1	250.07793501581588	9887	118	0.1	250.07793501581588	669	765	97	111	1	GA_CrossoverP_MutationC
