N7	N11	412	377.7409181282134
N4	N7	252	230.54820360231886
N7	N8	242	222.07764682177424
N7	M1P0	231	214.55334419810862
N7	N9	179	163.7985039287249
N2	N7	170	157.3946128874715
N7	N13	167	154.26780854920742
N7	N10	173	153.79988554729715
N7	M0P0	151	140.61221491378654
N6	N7	148	137.6001100854246
N7	M0P1	134	124.33996719306785
N7	N15	131	120.2285587290665
N7	N12	117	109.15679212751625
N5	N7	92	86.90940061649675
N1	N7	95	85.64629561112308
N3	N7	86	80.32909260643503
N8	N11	90	77.17906450019264
N11	M1P0	75	66.33645158224705
N4	N11	76	64.09841584420558
N4	M1P0	66	61.05193613601953
N4	N8	59	51.66173302882694
N9	N11	52	46.44012512646384
N8	M1P0	53	45.73678031316539
N0	N7	48	43.095566897976575
N2	N11	43	38.99477047456175
N7	M1P1	42	38.28189680889698
N11	N13	41	37.74399506736789
N10	N11	42	34.7452895040087
N7	N14	36	32.71131034855631
N8	N9	32	27.157469108032032
N6	M1P0	30	27.035132283756916
N6	M0P0	28	25.573598538097077
N11	M0P1	30	25.032778156555306
N6	N15	29	24.999772129770513
N9	N13	28	24.955582967008848
N11	N15	29	24.0841841042304
N4	N6	27	23.964413576947514
N2	M1P0	26	23.960900270088803
N2	N8	28	23.80512685680496
N3	N11	28	23.13318778429366
N9	M1P0	26	23.048142029890947
N4	N13	26	22.299195206370786
N12	M1P0	25	22.077665678361434
N2	N9	25	22.010690641513964
N4	N12	24	21.88767482837051
N11	N12	24	21.675819871296067
N8	M0P1	23	20.089829592255455
N6	N13	23	19.995745998345615
N4	N15	23	19.838041312571765
N2	N4	22	19.509088759831165
N13	M1P0	22	19.346226737166596
N8	N13	22	18.78462904049108
N2	N15	20	18.71912768042681
N9	M0P0	22	18.6891066664186
N6	N11	23	18.639278043386565
N5	M1P0	20	18.45289426232949
N8	N10	23	18.3301535953615
N10	M1P0	22	18.182544762814437
N2	N10	20	18.117661944602105
N11	M0P0	22	17.851983853256396
N5	N8	21	17.804820065243703
N8	N12	20	17.48412146888931
N4	M0P0	20	17.1002252819546
N4	N10	22	17.098448767149797
N2	N13	19	16.991391804719637
N10	M0P1	21	16.836758425385277
N6	N8	21	16.318318380898237
N15	M0P0	17	15.749938606780258
N9	N12	17	15.686221912283902
N2	N5	17	15.470975588110608
N5	N11	18	14.903530904480682
N1	N11	18	14.8533888756587
N6	N12	16	14.605551856757174
N6	M0P1	15	14.184434057335647
N4	M0P1	16	14.069725047949271
M0P0	M1P0	15	13.900830784743833
N2	N6	15	13.858607676425816
N2	M0P0	16	13.572961046355132
N1	M1P0	16	13.402733250064223
N10	N15	15	13.213673136568369
N3	N8	15	12.988195353791756
N10	N13	16	12.849685722396877
N3	N9	14	12.789989458113336
N13	M0P0	15	12.751891501768302
N1	N4	15	12.282222365736793
N6	N9	13	11.710988338297742
N12	N15	13	11.449597600184164
N5	N9	14	11.25639240533039
N8	M0P0	14	11.236869792002167
N12	M0P0	12	11.232328649761492
N0	N8	12	11.148296457892807
M0P1	M1P0	13	11.103226749339727
N1	N9	12	11.076927899194475
N4	N9	12	10.879506705014212
N9	N15	12	10.837500741780712
N10	M0P0	13	10.649168752998095
N0	M1P0	11	10.622271862622473
M0P0	M0P1	11	9.95192815140881
N0	N4	11	9.948513030283605
N12	N13	10	9.689720627116795
N2	N3	10	9.61910302297764
N1	N15	10	9.60558418096188
N9	N10	13	9.211929354532337
N5	M0P0	11	9.13544753044722
N1	N2	11	9.021367814859257
N3	M1P0	12	8.961317535316212
N13	N15	9	8.747636723580444
N11	M1P1	10	8.603170879665392
N2	M0P1	10	8.318214857234343
N0	N11	9	8.029205848174971
N1	N10	9	7.8709807753198175
N8	N15	11	7.846761668349337
N2	N12	9	7.735655202815445
N6	N10	11	7.614670236670317
N15	M1P0	8	7.252088480914036
N13	M0P1	8	6.819270159342758
N1	N13	8	6.804038507854114
N1	N6	7	6.586425596795877
N15	M0P1	8	6.442186154561824
N8	N14	8	6.361908285417714
N3	M0P0	8	6.308627448586863
M1P0	M1P1	7	6.214162919867222
N4	N14	7	6.1490996912890346
N12	M0P1	8	5.969948234207748
N10	N12	6	5.495913488480105
N1	N8	7	5.447023859212363
N14	M1P0	7	5.341808022045688
N5	N10	6	5.029370515051103
N3	N4	6	4.930556089122121
N2	N14	5	4.86177675757984
N3	N6	5	4.825826763533236
N3	N12	6	4.801804283621158
N4	N5	6	4.779579627028379
N1	N3	7	4.578600583554777
N0	N9	6	4.571209363414468
N5	N13	5	4.523720060998053
N3	N10	6	4.4124645357202255
N4	M1P1	5	4.2974123064190035
N5	N12	5	4.198528583199325
N3	M0P1	6	4.145896748457515
N14	M0P0	5	4.103455330942431
N0	N13	5	4.079593388420006
N3	N5	5	4.078959069074486
N6	N14	4	3.858561559295316
N5	M0P1	4	3.8454998484279477
M0P0	M1P1	4	3.842765525365798
N8	M1P1	4	3.372160106524925
N10	M1P1	4	3.105474913912052
N9	M1P1	5	2.966862087424767
N0	N12	3	2.9404315196998123
N0	N6	3	2.8823454763393785
N3	N15	3	2.86138108260885
N0	M0P1	3	2.8383103135588126
N11	N14	3	2.8238931011449218
N9	M0P1	4	2.5771654873315653
N6	M1P1	3	2.365061497588147
N5	N14	3	2.2214899298562196
N12	N14	3	2.1352820055135955
N5	N6	3	2.0952513689211885
M0P1	M1P1	3	2.091858578127304
N10	N14	2	1.9956222639149468
N1	M0P0	2	1.9206086387615273
N9	N14	2	1.9159538641325602
N1	M1P1	2	1.9132550792963552
N5	N15	2	1.9076048561268766
