InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
400	18.02390832748754	24.32510905974009	98.00766384917905	18.523043694563775	83.28302238635675	20.18270685039292	107.0133041575535	709.458353706032	160.33236350978802	124.91170797485934	74.83718668037179	229.1245279055964	68.16232989645039	50.423283219785176	22.534500895261534	92.85602736336169	51.264525500949865	24.192359243961505	106.54969881428325	5.3893371626593805	0.69
906	38.49072799585702	33.14803705822529	56.81346294088061	23.94670296403382	41.52619589257491	58.15516587873075	3.7869804916948695	894.8074747288952	0	81.22410012241612	88.30671628647303	166.30057113847974	36.22993665923094	77.26896838101503	15.764913285428285	38.819044522881526	24.423076322374804	1.9707642276422763	86.13902158106633	15.787050377260691	14.44
1347	8.132894132151492	14.619345738177884	46.297662080977	10.995549254158307	41.29692119337099	6.533294482423342	14.037274177054027	440.6697986360591	18.210585426167803	31.78990580477772	46.16689182294481	80.11245936169878	5.386836525700437	12.792362180906446	3.011054839134778	19.627047137892315	19.056554492936563	35.29403958738967	36.58009894679079	38.602144055567706	10.31
366	4.311707015031115	35.93573071886977	77.73449853836058	25.797516105879872	43.595500640541964	13.241989920977254	13.513860219355028	854.0383330720914	17.101271363786374	17.66087473722178	102.02519255746245	154.15355022546706	21.827912506390597	24.161894605387626	14.557273175674728	42.15631120960507	60.2670989882017	57.364070796626294	20.125794003633075	47.2340732685609	8.84
322	4.491461022501769	15.85730092579425	14.62162417147152	1.350579553266891	46.73910454498873	0.997084835717012	0	422.165688920009	35.8378889721544	12.203914312299727	46.18997495257089	70.48699244449696	17.67821514514778	32.323115722027666	1.2278486554096304	35.494720577518414	24.440891569479682	20.118438041259733	12.387249892768988	9.129642457006845	12.8
974	14.830005362996607	24.5940971464908	81.82829308127803	24.7992715437031	44.17514309075385	10.393105881268548	14.696242454396206	796.6814274627936	102.5220856567528	48.17246181594091	25.448055809722828	153.9296997881698	29.212145361752988	31.932133928362372	12.73967335626372	3.6201571804254966	27.933886295610872	36.915465718901295	37.04205671168704	43.64570598976981	8.76
617	24.49336397548935	22.781861925262124	18.075834743439493	7.723898552871006	24.67214372187763	12.9016040104407	22.215578177901893	405.1359227487636	35.57109475660804	6.519100041136043	58.5178444262048	63.2633846838252	9.263678506228668	15.818632613504793	0.7122510093455601	15.560909736178976	25.131263240207662	15.790777642694431	21.70018978075476	1.479829958828434	16.16
1104	3.926451828867401	52.337066649666525	67.33444197606728	23.304521346015985	108.81372148295043	54.09490512423929	83.46483193896256	972.8708631385431	74.48311846364018	79.18686193450094	38.686392851706664	163.37501180868955	8.877557780263281	36.63596189298237	20.59947155082218	33.62248623930743	35.04393191608115	27.6842452129022	111.87968465932425	4.914683423665323	14.45
1384	12.10921629715477	20.311917225003587	22.21601135469186	16.66443502967685	32.78861031388584	13.972663124501665	29.57414623309558	422.5072031018575	38.09873792543819	3.7076169018908023	60.427751155480294	0.403758354565697	16.6811545486881	17.199035414924943	13.825832273577593	30.304082262940806	20.357722911611592	18.11881283200081	22.857875991004043	14.284669517769306	15.83
355	18.03361851831559	43.323696588347964	124.61804863111726	59.51074487043166	75.68555696608233	6.681672559999664	92.89823925348627	777.4557481921995	158.81390402708843	146.04261637765904	74.23016016201433	253.13314766242246	53.196422458015064	49.2152883071994	4.104900659332007	50.74768559957829	70.83334975222296	65.0850704741954	90.26822580036722	20.48635803804681	0.91
1205	5.2818409004887155	22.951072603480977	45.87806999947676	6.782208830023974	39.40130732257096	6.222023033360105	15.622398204322854	370.1068569091586	26.74635151783021	21.449964547173792	21.11595793930659	71.90664780189252	7.909901387967441	15.323737784360489	2.0786335176014994	20.226973880292924	6.576216483581928	10.231926169830373	43.04945051306823	6.253520712654566	4.67
563	1.875994985066714	24.374351281409183	47.75096631969047	29.331041347979983	60.37076324845197	36.24444623122627	42.811529657652514	429.44023125181286	133.4784362109457	8.455856983402564	45.09198162388902	57.81722219725249	1.9141920154729775	8.541571294559098	0.9588887294849446	33.165559978645256	52.30466271670227	51.864640210304955	62.94113026236399	0.4495055899796965	0.44
