N7	N11	276	258.71461652722587
N7	M1P0	188	178.41041275261114
N4	N7	187	177.17716531828242
N7	N10	168	157.3474246903107
N7	N8	159	149.3181968798496
N2	N7	126	119.50199549229
N7	N9	122	115.61594027658614
N7	N12	120	113.34851188016091
N7	N15	117	110.23850889689915
N6	N7	116	109.55795356218601
N7	N13	114	107.18172949543404
N7	M0P0	90	84.62621292855873
N7	M0P1	83	78.69139169173972
N1	N7	82	76.90044763822313
N5	N7	68	65.69348056103706
N3	N7	55	51.755850511137474
N11	M1P0	50	46.92849143584124
N4	M1P0	48	46.04978813611055
N7	M1P1	44	41.14827725050147
N8	N11	44	41.00355602887003
N4	N11	43	40.05186191251946
N0	N7	39	37.34398302966173
N8	M1P0	38	35.919931668172204
N4	N8	37	34.67136705426843
N8	N10	31	29.420178474785214
N10	M1P0	30	27.64550856582232
N12	M1P0	29	27.471894264242113
N9	M1P0	28	26.65588928956975
N2	N11	28	26.358093970636546
N9	N11	27	25.967188847140758
N11	N13	27	25.120662655694574
N4	N10	25	23.84524969811109
N10	N11	25	22.89746141628342
N4	N12	23	22.036522193308652
N2	N8	22	20.58500557910637
N11	N12	22	20.273729818958234
N10	N12	21	19.837035126383746
N2	N10	19	18.570215023090263
N7	N14	19	18.231363386929118
N6	M1P0	19	18.17683137237651
N8	M0P0	18	17.340561753198823
N11	N15	18	17.023651650948466
N8	N15	17	16.073835021949535
N6	N15	16	15.210011509994422
N11	M0P1	16	14.425802866486066
N9	N12	15	14.280725294643549
N2	N4	15	14.260156212503217
N12	N15	15	14.030643400250119
N3	N11	15	13.907581717905929
N10	N15	14	13.62746662244264
N6	N8	14	13.501011196735021
N10	N13	15	13.20876803374363
N2	N9	14	13.093975827086757
N6	N9	13	12.537375181304785
N9	M0P0	13	12.527240710904886
N2	M1P0	13	12.463631582244474
N9	N15	12	11.6562941535057
N0	N4	12	11.611062074473253
N4	N6	12	11.495424008869849
N11	M0P0	12	11.273761715116446
N4	N13	12	11.238024131463636
N2	N5	11	10.707810681937309
N5	M1P0	11	10.699300584462351
N0	M1P0	11	10.6512671773795
N1	M1P0	11	10.372719235639757
N12	N13	11	10.300477331348839
N8	N13	11	10.205533352168919
N2	N13	11	10.150719509330148
N12	M0P1	11	9.797905109612378
N13	N15	10	9.680897776904654
N4	N15	10	9.636243636829976
N5	N11	10	9.555985824531518
N2	N6	10	9.546285319054446
N8	M0P1	10	9.519857743343943
N1	N9	10	9.505760753751554
N13	M1P0	10	9.182073601118246
N4	M0P1	10	9.085417675808957
M0P0	M1P0	9	8.715615371856382
N15	M0P1	9	8.698004570066006
N0	N8	9	8.643678979121713
N6	M0P1	9	8.63438117946498
N8	N9	9	8.23776041465865
N11	M1P1	9	8.216582777968195
N9	N10	9	8.105839002599206
N6	M0P0	8	7.739398006866972
M0P0	M0P1	8	7.737435552131606
N15	M0P0	8	7.734790199004379
N4	M1P1	8	7.721419355991788
N1	N15	8	7.719793658450763
N9	N13	8	7.714878657921303
N6	N13	8	7.7067424689068735
N6	N12	8	7.698736791365935
N4	N9	8	7.687732013043547
N1	N11	8	7.608251472488131
N8	N12	8	7.451153385460024
M0P1	M1P0	8	7.385082362815949
N5	N6	7	6.833351056313755
N1	M0P0	7	6.818630671416096
N9	M1P1	7	6.744087637550953
N3	N9	7	6.735260327016848
N6	N10	7	6.733986184712599
N5	N8	7	6.7329685485203825
N3	N8	7	6.730575313082976
N8	N14	7	6.7146299772477445
N1	N4	7	6.685077515569161
N4	M0P0	7	6.405906891053259
N2	N15	7	6.384285669762028
N15	M1P0	7	6.3818105789776105
N3	M1P0	7	6.303604986553002
N3	N10	7	6.294156735195043
N6	N11	7	6.284379360623339
N1	N8	6	5.827381467285296
M1P0	M1P1	6	5.75789521082684
N1	N3	6	5.756578329179639
N3	M0P0	6	5.703190034525215
N0	N9	6	5.597292958901822
N5	N10	5	4.869973998471174
N3	N15	5	4.8597995933621805
N4	N5	5	4.856043151969981
N8	M1P1	5	4.831394104326902
N1	N13	5	4.700053334903263
N1	N2	5	4.667624176647686
N1	N10	5	4.610739803383322
N10	M0P0	5	4.6003161173225795
N3	M0P1	5	4.455850910341796
N10	M1P1	5	4.023444402927777
N0	N12	4	3.9248913383364603
N0	N15	4	3.919036155104569
N5	M0P0	4	3.8899055812324255
N5	N15	4	3.886045157383912
N2	M1P1	4	3.8660286825376806
N3	N6	4	3.8629120419373564
N13	M0P0	4	3.844598839164187
N2	N3	4	3.8353890117361447
N12	M1P1	4	3.830501313914331
N4	N14	4	3.8152019524599323
N5	N12	4	3.679811901669313
N13	M0P1	4	3.4055912103756856
N10	M0P1	4	3.382645505580745
N0	N10	3	2.9267943664971767
N1	M0P1	3	2.9233802593222036
N5	M1P1	3	2.9142134965305697
N10	N14	3	2.901375859912445
N0	N2	3	2.8895041688699505
N2	N12	3	2.8862411297612267
N9	M0P1	3	2.880609355226052
N5	N13	3	2.8749953188571973
N12	M0P0	3	2.872941070565909
N0	N11	3	2.8728108297342123
N3	N4	3	2.854258028897549
N15	M1P1	3	2.8194192924471007
N2	M0P0	3	2.7270910343374464
N1	N12	3	2.501925870784881
N0	N5	2	1.964906227600632
N6	M1P1	2	1.962893475088597
M0P1	M1P1	2	1.9422896696728618
N0	N13	2	1.9310482777217854
N5	M0P1	2	1.9254107296333312
N5	N9	2	1.9237500805935248
M0P0	M1P1	2	1.9215086126440872
N0	M1P1	2	1.9184343493438627
N0	N6	2	1.9180629197596324
N3	N5	2	1.9146854215790703
N11	N14	2	1.9064535299602612
